"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","116645","44185","160830","20","22.09","21.62","10.9"
"12","12. Politinė partija „Nemuno Aušra“","34898","101035","22091","123126","15","16.91","16.55","8.35"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","77500","32743","110243","13","15.14","14.82","7.47"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","55091","14902","69993","9","9.61","9.41","4.75"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","45641","11934","57575","7","7.91","7.74","3.9"
"14","14. Liberalų sąjūdis","34656","38991","11432","50423","6","6.93","6.78","3.42"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","23981","7398","31379","0","4.31","4.22","2.13"
"16","16. Laisvės partija","34654","16888","9023","25911","0","3.56","3.48","1.76"
"5","5. Lietuvos liaudies partija","34662","16657","3155","19812","0","2.72","2.66","1.34"
"2","2. Nacionalinis susivienijimas","34672","14094","3535","17629","0","2.42","2.37","1.2"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","13704","3428","17132","0","2.35","2.3","1.16"
"6","6. Lietuvos regionų partija","34664","12016","3841","15857","0","2.18","2.13","1.08"
"4","4. Lietuvos žaliųjų partija","34670","8058","3602","11660","0","1.6","1.57","0.79"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","8590","2596","11186","0","1.54","1.5","0.76"
"10","10. Partija „Laisvė ir teisingumas“","34674","3588","1643","5231","0","0.72","0.7","0.35"
NA,NA,NA,"552479","175508","727987","70","100","97.88","49.36"
