"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju","timestamp","apylinkes","lt_proc_rinkeju"
"3","Lietuvos socialdemokratų partija","34666","5652","2630","8282","25","28.03","27.43","13.04",2024-10-13 21:00:06,"270","3.07"
"12","Politinė partija „Nemuno Aušra“","34898","4730","1011","5741","18","19.43","19.02","9.04",2024-10-13 21:00:06,"270","3.07"
"13","Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","1988","1143","3131","10","10.6","10.37","4.93",2024-10-13 21:00:06,"270","3.07"
"8","Lietuvos valstiečių ir žaliųjų sąjunga","34668","2277","648","2925","9","9.9","9.69","4.61",2024-10-13 21:00:06,"270","3.07"
"11","Demokratų sąjunga „Vardan Lietuvos“","34644","2029","699","2728","8","9.23","9.04","4.3",2024-10-13 21:00:06,"270","3.07"
"14","Liberalų sąjūdis","34656","1090","400","1490","0","5.04","4.94","2.35",2024-10-13 21:00:06,"270","3.07"
"16","Laisvės partija","34654","505","318","823","0","2.79","2.73","1.3",2024-10-13 21:00:06,"270","3.07"
"6","Lietuvos regionų partija","34664","610","176","786","0","2.66","2.6","1.24",2024-10-13 21:00:06,"270","3.07"
"9","Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","567","201","768","0","2.6","2.54","1.21",2024-10-13 21:00:06,"270","3.07"
"5","Lietuvos liaudies partija","34662","522","136","658","0","2.23","2.18","1.04",2024-10-13 21:00:06,"270","3.07"
"1","Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","414","154","568","0","1.92","1.88","0.89",2024-10-13 21:00:06,"270","3.07"
"4","Lietuvos žaliųjų partija","34670","315","165","480","0","1.62","1.59","0.76",2024-10-13 21:00:06,"270","3.07"
"2","Nacionalinis susivienijimas","34672","349","112","461","0","1.56","1.53","0.73",2024-10-13 21:00:06,"270","3.07"
"17","Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","278","147","425","0","1.44","1.41","0.67",2024-10-13 21:00:06,"270","3.07"
"10","Partija „Laisvė ir teisingumas“","34674","174","105","279","0","0.94","0.92","0.44",2024-10-13 21:00:06,"270","3.07"
